  Dy ,MxT   ,MnT   ,AvT   ,HDDay  ,AvDP ,1HrP,TPcpn ,WxType 
1,88,59,74,       ,53.8,     ,0.00,F      
2,79,63,71,       ,46.5,     ,0.00,       
3,77,55,66,       ,39.6,     ,0.00,       
4,77,59,68,       ,51.1,     ,0.00,       
5,90,66,78,       ,68.3,     ,0.00,TFH    
6,81,61,71,       ,63.7,     ,0.00,RFH    
7,73,57,65,       ,53.0,     ,0.00,RF     
8,75,54,65,       ,50.0,     ,0.00,FH     
9,86,32*,59,6,61.5,     ,0.00,       
10,84,64,74,       ,57.5,     ,0.00,F      
11,91,59,75,       ,66.3,     ,0.00,H      
12,88,73,81,       ,68.7,     ,0.00,RTH    
13,70,59,65,       ,55.0,     ,0.00,H      
14,61,59,60,5,55.9,     ,0.00,RF     
15,64,55,60,5,54.9,     ,0.00,F      
16,79,59,69,       ,56.7,     ,0.00,F      
17,81,57,69,       ,51.7,     ,0.00,T      
18,82,52,67,       ,52.6,     ,0.00,       
19,81,61,71,       ,58.9,     ,0.00,H      
20,84,57,71,       ,58.9,     ,0.00,FH     
21,86,59,73,       ,57.7,     ,0.00,F      
22,90,64,77,       ,61.1,     ,0.00,H      
23,90,68,79,       ,63.1,     ,0.00,H      
24,90,77,84,       ,67.5,     ,0.00,H      
25,90,72,81,       ,61.3,     ,0.00,       
26,97*,64,81,       ,70.4,     ,0.00,H      
27,91,72,82,       ,69.7,     ,0.00,RTH    
28,84,68,76,       ,65.6,     ,0.00,RTFH   
29,88,66,77,       ,59.7,     ,0.00,       
30,90,45,68,       ,63.6,     ,0.00,H      
  mo ,82.9,60.5,71.7,16,58.8,     ,0.00,       
